This file contains a collection of 44 0/1 Knapsack Problems, that are well known from the literature, and are solved 
in the following publications:
Bhattacharjee KK, Sarmah SP (2014) Shuffled frog leaping algorithm and its application to 0/1 knapsack problem. Appl Soft
Comput 19:252–263.

+++++++++++++++++++++++++++++
 FILE FORMAT
 The test data's file format, using 2 columns, whenever possible, is as follows:
 
 <n := #objects> <best known solution>
 <n weights of objects> <n profits of objects>
 <knapsack capacity>
 
 +++++++++++++++++++++++++++++

***********************************************
SET 1 : Problem instances of small class
***********************************************
 +++++++++++++++++++++++++++++
Problem f_1
 +++++++++++++++++++++++++++++
10	295
95	55
4	10
60	47
32	5
23	4
72	50
80	8
62	61
65	85
46	87
269
	
 +++++++++++++++++++++++++++++
Problem f_2
 +++++++++++++++++++++++++++++
20	1024
92	44
4	46
43	90
83	72
84	91
68	40
92	75
82	35
6	8
44	54
32	78
18	40
56	77
83	15
25	61
96	17
70	75
48	29
14	75
58	63
878
	
 +++++++++++++++++++++++++++++
Problem f_3
 +++++++++++++++++++++++++++++
4	35
6	9
5	11
9	13
7	15
20	

 +++++++++++++++++++++++++++++
Problem f_4
 +++++++++++++++++++++++++++++
4	23
2	6
4	10
6	12
7	13
11	

 +++++++++++++++++++++++++++++
Problem f_5
 +++++++++++++++++++++++++++++
15	481.0694
56.358531	0.125126
80.87405	19.330424
47.987304	58.500931
89.59624	35.029145
74.660482	82.284005
85.894345	17.41081
51.353496	71.050142
1.498459	30.399487
36.445204	9.140294
16.589862	14.731285
44.569231	98.852504
0.466933	11.908322
37.788018	0.89114
57.118442	53.166295
60.716575	60.176397
375	

 +++++++++++++++++++++++++++++
Problem f_6
 +++++++++++++++++++++++++++++
10	52
30	20
25	18
20	17
18	15
17	15
11	10
5	5
2	3
1	1
1	1
60	

 +++++++++++++++++++++++++++++
Problem f_7
 +++++++++++++++++++++++++++++
7	107
31	70
10	20
20	39
19	37
4	7
3	5
6	10
50	

 +++++++++++++++++++++++++++++
Problem f_8
 +++++++++++++++++++++++++++++
23	9767
983	81
982	980
981	979
980	978
979	977
978	976
488	498
976	974
972	970
486	485
486	485
972	970
972	970
485	484
485	484
969	976
966	974
483	482
964	962
963	961
961	959
958	958
959	857
10000	

 +++++++++++++++++++++++++++++
Problem f_9
 +++++++++++++++++++++++++++++
5	130
15	33
20	24
17	36
8	37
31	12
80	

 +++++++++++++++++++++++++++++
Problem f_10
 +++++++++++++++++++++++++++++
20	1025
84	91
83	72
43	90
4	46
44	55
6	8
82	35
92	75
25	61
83	15
56	77
18	40
58	63
14	75
48	29
70	75
96	17
32	78
68	40
92	44
879	


***********************************************
SET 2 : Problem instances of small class
***********************************************

 +++++++++++++++++++++++++++++
Problem 8_a
 +++++++++++++++++++++++++++++
8	392440
12630	25424
284975	604597
583838	1272766
575342	1174735
780934	1707707
164152	313906
912739	1689410
412657	860062
1863633	

 +++++++++++++++++++++++++++++
Problem 8_b
 +++++++++++++++++++++++++++++
8	3813669
666885	1452321
346111	747077
97003	209067
337746	674618
507338	1076193
836649	1619423
564424	1212262
289280	538078
1822718	

 +++++++++++++++++++++++++++++
Problem 8_c
 +++++++++++++++++++++++++++++
8	3347452
580593	1155261
34916	73653
848308	1631996
528023	1130519
497440	1045697
490277	1061672
97943	193508
141338	296438
1609419	

 +++++++++++++++++++++++++++++
Problem 8_d
 +++++++++++++++++++++++++++++
8	4187707
800588	1521886
496540	919285
364175	794937
699421	1296002
179078	354090
778021	1582223
206205	409313
700556	1401234
2112292	

 +++++++++++++++++++++++++++++
Problem 8_e
 +++++++++++++++++++++++++++++
8	4955555
862754	1582289
318418	640086
651921	1270769
844733	1839736
438185	795116
591527	1099087
810761	1524697
468202	951036
2493250	

 +++++++++++++++++++++++++++++
Problem 12_a
 +++++++++++++++++++++++++++++
12	5688887
672437	1370413
664905	1281034
66143	124356
670473	1296241
649045	1410881
513812	993625
638975	1209949
262871	573180
79332	147263
334123	617431
620541	1193525
437769	861742
2805213	

 +++++++++++++++++++++++++++++
Problem 12_b
 +++++++++++++++++++++++++++++
12	6498597
419614	800734
463634	843137
305284	551965
918709	1921987
743181	1429742
652957	1272555
256487	552649
790046	1468914
310107	645615
985008	1859603
43471	89001
629575	1190478
3259036	

 +++++++++++++++++++++++++++++
Problem 12_c
 +++++++++++++++++++++++++++++
12	5170626
399907	744436
241106	446887
271976	550596
105019	191341
65202	142738
864369	1571133
458263	868558
27528	54288
667143	1425628
681262	1318834
982460	2127868
215395	422621
2489815	

 +++++++++++++++++++++++++++++
Problem 12_d
 +++++++++++++++++++++++++++++
12	6992404
992884	2157066
417147	853212
996822	1845571
591627	1068849
482278	962615
651305	1278897
491683	1026191
727443	1377079
135904	264669
152947	299959
590330	1080762
677035	1263347
3453702	

 +++++++++++++++++++++++++++++
Problem 12_e
 +++++++++++++++++++++++++++++
12	5337472
187536	390564
919812	1896554
281447	518776
290967	534038
293933	539357
146982	281514
335995	679085
76949	164965
296586	603431
732368	1601666
912094	1826086
566115	1235821
2520392	

 +++++++++++++++++++++++++++++
Problem 16_a
 +++++++++++++++++++++++++++++
16	7850983
123074	248913
517025	1051063
655582	1211866
371336	716645
51246	103462
296092	544575
431720	860033
933989	2039565
561395	1174920
376612	704133
722734	1495071
995095	1907792
568523	1093059
168710	345186
520215	1097141
267362	487799
3780355	

 +++++++++++++++++++++++++++++
Problem 16_b
 +++++++++++++++++++++++++++++
16	9352998
31957	66111
117108	215853
250834	452976
775747	1435157
994544	1901253
315281	649654
937184	2034198
258099	496995
877986	1725886
327103	678356
632921	1329367
518873	1088047
708189	1507322
537974	1041781
732066	1607816
838024	1634282
4426945	

 +++++++++++++++++++++++++++++
Problem 16_c
 +++++++++++++++++++++++++++++
16	9151147
406270	837989
182392	370555
468242	843247
749900	1625049
581384	1127636
334532	664244
483985	900936
342610	747010
260722	517890
970898	2092844
887883	1749694
657188	1376143
369265	756658
252140	483621
727195	1583667
971955	1826529
4323280	

 +++++++++++++++++++++++++++++
Problem 16_d
 +++++++++++++++++++++++++++++
16	9348889
169122	319363
435204	924519
480076	1016542
638597	1387079
906325	1840227
613953	1346660
713858	1515021
817993	1572948
18612	37076
819650	1702673
867495	1623789
992711	1968433
509674	1004311
103140	221324
481247	956448
334219	692230
4450938	

 +++++++++++++++++++++++++++++
Problem 16_e
 +++++++++++++++++++++++++++++
16	7769117
615938	1188681
74618	160632
109110	225764
821054	1762724
458488	840566
821360	1501156
609945	1265916
361196	672380
633910	1336652
133731	289808
619385	1252296
11437	20947
232580	472835
987645	1828177
354237	759603
676225	1253380
3760429	

 +++++++++++++++++++++++++++++
Problem 20_a
 +++++++++++++++++++++++++++++
20	10727049
807304	1490790
365268	691574
71972	150435
635962	1164050
628375	1227890
105248	219877
912959	1934511
102532	199053
258867	514991
778387	1522492
351744	769943
775629	1680173
997576	1839759
264796	523879
438778	800279
549088	1097473
522456	1091605
920079	1921590
775693	1495883
76582	139897
5169647	

 +++++++++++++++++++++++++++++
Problem 20_b
 +++++++++++++++++++++++++++++
20	9818261
426375	928904
91504	170787
915455	1689092
60292	117966
337974	632580
336679	731869
566396	1185747
425705	923646
836379	1617156
27713	52263
779627	1501384
207304	428275
174254	368772
703660	1513686
421993	918075
450456	903139
828590	1588130
121896	220241
719160	1451995
931334	1863885
4681373	

 +++++++++++++++++++++++++++++
Problem 20_c
 +++++++++++++++++++++++++++++
20	10714023
440356	925328
79368	164044
945895	1966178
666364	1440910
594595	1288193
358461	741301
666020	1241063
801970	1447446
716869	1388189
431640	916476
576028	1240551
308237	639466
541552	1124003
879694	1867028
18964	40187
741144	1361579
410306	770874
24327	44934
868689	1671823
57104	119080
5063791	

 +++++++++++++++++++++++++++++
Problem 20_d
 +++++++++++++++++++++++++++++
20	8929156
637662	1252158
193120	350292
776715	1479672
262749	521323
23227	50313
384111	715956
768320	1462192
168361	314251
650172	1319970
453970	978978
873944	1743412
389217	748759
579192	1274136
490419	1031710
485659	890331
478971	1029238
79818	174683
507772	1062778
134957	250178
234926	431650
4286641	

 +++++++++++++++++++++++++++++
Problem 20_e
 +++++++++++++++++++++++++++++
20	9357969
63416	128319
838949	1601667
231705	475634
278430	531575
579076	1251993
542663	1108634
544786	1039759
226831	468728
362836	698158
192630	372342
543297	1161048
194244	403961
668225	1362470
858827	1773653
306890	580301
914752	1947699
243468	495773
983177	2007127
262040	472069
115758	245042
4476000	

 +++++++++++++++++++++++++++++
Problem 24_a
 +++++++++++++++++++++++++++++
24	13549094
382745	825594
799601	1677009
909247	1676628
729069	1523970
467902	943972
44328	97426
34610	69666
698150	1296457
823460	1678693
903959	1902996
853665	1844992
551830	1049289
610856	1252836
670702	1319836
488960	953277
951111	2067538
323046	675367
446298	853655
931161	1826027
31385	65731
496951	901489
264724	577243
224916	466257
169684	369261
6404180	

 +++++++++++++++++++++++++++++
Problem 24_b
 +++++++++++++++++++++++++++++
24	12233713
763783	1559844
914370	1724668
831207	1548321
100284	186455
487486	1012952
182921	337633
369532	806295
727094	1329837
272162	546869
227474	446874
170387	316848
697344	1399126
266796	578882
41169	79486
937876	1816706
883615	1665934
923090	1917601
385246	770200
839734	1732704
423575	806240
33377	65751
975193	1870594
69579	140713
418849	859568
5971071	

 +++++++++++++++++++++++++++++
Problem 24_c
 +++++++++++++++++++++++++++++
24	12448780
425855	911193
348636	699561
526169	1049934
332447	675119
441002	942922
924697	1911983
383512	766504
696754	1428013
345706	665388
295567	601640
606800	1126415
502532	1004011
67352	135369
991656	2158735
779035	1516949
244102	505363
623815	1160279
460346	1003942
44551	81812
774214	1654345
215619	455207
914117	1774312
568645	1245431
227812	422075
5870470	

 +++++++++++++++++++++++++++++
Problem 24_d
 +++++++++++++++++++++++++++++
24	11815315
844709	1844400
36928	75605
649129	1344522
925892	1725990
475939	1029572
108733	223878
488034	935619
395701	725710
550693	1003949
509694	953278
440355	900820
49925	97657
100736	215673
79142	143729
152798	293251
88114	187454
941561	1696715
820124	1495747
827804	1589311
918561	1821594
261353	495147
573421	1250695
497161	970416
788062	1459955
5762284	

 +++++++++++++++++++++++++++++
Problem 24_e
 +++++++++++++++++++++++++++++
24	13940099
695093	1319972
430667	804470
233583	487111
832832	1636416
422539	915637
614321	1334476
898576	1703095
371233	727928
324029	588848
958551	1974348
381955	818432
519075	1012735
94236	181004
835863	1826340
352292	736446
983000	2070580
286126	597255
924119	1765740
679730	1374118
229377	467036
152007	310529
794048	1614819
566176	1157316
729710	1370965
6654569	


***********************************************
SET 3 : Problem instances of medium and large class
***********************************************
 +++++++++++++++++++++++++++++
Problem 50_u
 +++++++++++++++++++++++++++++
50	18982
949	762
374	895
228	248
569	598
561	77
282	267
873	847
846	685
648	488
724	357
267	214
122	229
151	765
668	397
337	823
618	526
776	103
733	49
737	939
60	615
228	992
467	477
899	983
545	573
58	233
795	118
775	131
510	742
26	139
976	188
243	397
902	336
449	459
63	103
100	171
369	642
514	788
381	373
2	307
718	898
346	725
657	407
170	187
622	52
425	944
678	421
179	597
888	514
160	896
98	186
11883	

 +++++++++++++++++++++++++++++
Problem 50_w
 +++++++++++++++++++++++++++++
50	13280
94	76
57	65
48	115
683	586
476	470
928	995
412	493
871	873
711	779
943	957
481	536
435	398
513	435
525	564
470	519
959	939
857	827
306	217
721	696
855	829
308	265
157	240
78	111
749	735
535	561
454	475
793	890
219	272
307	351
732	809
460	363
406	421
252	347
582	589
809	722
51	64
149	95
492	481
892	812
314	240
283	344
65	16
61	61
580	585
837	741
